OBJECTID,LegacyID,FACILITYID,BlockStreet,IntersectionStreets,ROW_Mailboxes,Surface_Type,SHAPESTArea,SHAPESTLength,Latitude,Longitude
19,9999,284,Not Specified,Glen Abbey DR & Vahalla Dr,Yes,Concrete,3220.171523736084,249.92177752417805,40.104376986367676,-88.32792387318135
20,9999,288,1200 Glen Abbey DR,Not Specified,Yes,Concrete,12732.408268965859,998.0035161070757,40.10364485904931,-88.32775476234406
21,8888,711,2300 S Rising Rd,Not Specified,No,Not Specified,2544.490451319682,321.40202607414085,40.08417970866877,-88.33334812220707
22,8888,712,Not Specified,S Rising Rd & W Windsor Rd,No,Oil and Chip,3280.3000123781717,246.32243339499018,40.084161260821745,-88.3329774488856
23,9999,732,Not Specified,Mullikin Dr & Nicklaus Dr,Yes,Concrete,3792.3877976259,258.6881271948291,40.076015177438045,-88.32195270471634
24,9999,733,4600 Nicklaus Dr,Not Specified,No,Concrete,7612.213050730946,625.0659886956093,40.07649687888639,-88.32193169724324
25,9999,734,4600 Nicklaus Dr,Not Specified,Yes,Concrete,10748.57207662882,716.0811968065118,40.076002317381295,-88.32268557102155
26,9999,735,Not Specified,Nicklaus Dr & Palmer Dr,No,Concrete,4716.65744767318,304.47977243782026,40.07594822725941,-88.31791764052734
27,9999,736,3100 Palmer Dr,Not Specified,No,Concrete,31912.75944866767,2424.787458735495,40.07420357899734,-88.31793034572974
28,9999,737,4500 Nicklaus Dr,Not Specified,Yes,Concrete,33761.06751742608,2141.220446592186,40.07598651102907,-88.31995205683903
29,9999,731,4400 Nicklaus Dr,Not Specified,No,Concrete,21194.989699050395,1393.897085629783,40.07596692224839,-88.31655640747239
30,9999,738,Not Specified,Nicklaus Dr & Snead Dr,No,Concrete,4481.932205388493,280.91991813085406,40.075928977270216,-88.3152061653615
31,9999,740,4300 Nicklaus Dr,Not Specified,No,Concrete,9286.54194849527,626.4689288010559,40.07543706819336,-88.31520694839259
32,8888,874,Not Specified,Bentbrook Dr & S Staley Rd,No,Asphalt,3192.698584037976,267.4511024148142,40.0905127365849,-88.31414067181534
33,8888,889,Not Specified,Brittany Trail Dr & S Staley Rd,Yes,Asphalt,3826.4967834529307,266.64911105369856,40.09202421178822,-88.31421996205377
34,8888,891,2000 S Staley Rd,Not Specified,Yes,Asphalt,11005.22415916217,968.9831784031664,40.09125848872868,-88.31418378394463
35,8888,894,1900 S Staley Rd,Not Specified,No,Asphalt,20576.648497716174,1768.3316061649564,40.093333118710504,-88.31421376218198
36,8888,898,1800 S Staley Rd,Not Specified,Yes,Asphalt,13344.19039631756,1159.1348349782872,40.09547687310933,-88.31424853159797
37,8888,172,1600 S Staley Rd,Not Specified,Yes,Asphalt,25053.04794735249,1576.2285899029773,40.09761848887588,-88.31428651021335
38,9999,1017,3700 Sandstone Dr,Not Specified,Yes,Concrete,1885.3319213841705,216.29648896185188,40.12950987378019,-88.30761110229304
39,9999,1018,3700 Harbor Estates Ln,Not Specified,Yes,Concrete,2438.012722157511,211.33064490949602,40.129313353845255,-88.30761140320367
40,9999,1019,1300 Mariner Wy,Not Specified,Yes,Concrete,5369.2181967591405,514.2540123627672,40.12887323988362,-88.30703396470307
41,9999,1020,1300 Mariner Wy,Not Specified,Yes,Concrete,2079.9975046598643,226.065577277903,40.1295006836504,-88.30706275160217
42,9999,1021,1300 Mariner Wy,Not Specified,Yes,Concrete,2166.0901479881218,227.75451247979927,40.12929276360447,-88.30733263125819
43,9999,1022,Not Specified,Balcary Bay & Mariner Wy,Yes,Concrete,2350.5535195415437,207.33213772764333,40.12928832547515,-88.30707342249156
44,9999,1023,Not Specified,Balcary Bay & Boca Vista Pt,Yes,Concrete,1714.1211080373848,171.2988534052291,40.12901462460772,-88.30797892636241
45,9999,1024,3700 Harbor Estates Ln,Not Specified,Yes,Concrete,2761.1398181242484,280.746387561016,40.12922573210711,-88.30789674680058
46,9999,1025,3700 Harbor Estates Ln,Not Specified,Yes,Concrete,9597.34194909368,841.1425163795786,40.12865073977604,-88.30766189504827
47,8888,1102,Not Specified,N Staley Rd & Wild Flower Dr,No,Asphalt,4716.006793634213,332.41267869158105,40.12476350875602,-88.31460613862507
48,625,2021,1300 Curt Dr,Not Specified,Yes,Asphalt,8403.387938107173,742.4622940452963,40.140139094844855,-88.26897808676956
49,0000,2095,3800 Champion Ave,Not Specified,No,Concrete,9965.8480005992,664.6279519089892,40.16160346821854,-88.28472282381583
50,0000,2096,2600 W Olympian Dr,Not Specified,No,Concrete,31634.94125785204,2656.067117459763,40.1618815086523,-88.2872590000032
51,0000,2097,Not Specified,Champion Ave & W Olympian Dr,No,Concrete,12622.531473133085,446.94038647445757,40.16112585325828,-88.28511460665996
52,0000,2098,2300 W Olympian Dr,Not Specified,No,Concrete,44110.98592550967,2446.7217348188033,40.16000757772971,-88.28283534659984
53,9999,2091,3400 Champion Ave,Not Specified,No,Concrete,178705.20860546856,10903.942896766632,40.156151103953114,-88.2876945109681
54,8888,2225,1100 Baytowne Dr,Baytowne Dr & Kankakee Dr,No,Not Specified,2399.5800969934007,201.67303091082636,40.1394947868119,-88.2661359269163
55,8888,2227,1100 Baytowne Dr,Not Specified,No,Not Specified,87005.61718575264,7332.179639949405,40.14183316761868,-88.26503272676891
56,8888,2228,1200 Baytowne Dr,Not Specified,No,Not Specified,5143.918367543728,345.55891113312686,40.1407531173455,-88.26158138421448
57,8888,2230,1100 Baytowne Dr,Not Specified,No,Not Specified,38975.284582365195,3276.167258068664,40.139853483790226,-88.26352885564103
58,8888,2394,Not Specified,Convenience Center Rd & Convenience Pl,No,Not Specified,5447.809039368808,290.99111989305345,40.13964617447181,-88.24315784463747
59,8888,2405,100 Convenience Center Rd,Not Specified,No,Not Specified,28447.00522862574,1445.0528738364433,40.139882930391714,-88.24195063335509
60,0000,2439,Not Specified,N Market St & Marketplace Mall,No,Asphalt,6556.429770044786,335.06281101228905,40.14440285673121,-88.23906918333623
61,0000,2440,2500 N Market St,Not Specified,No,Asphalt,8485.819214924844,464.270431823344,40.14398817566621,-88.23904241426996
62,8888,2693,Not Specified,Holly Dr & Sandalwood Dr,No,Not Specified,727.8152784793787,107.96249131495439,40.1342180095035,-88.23808927956858
63,8888,2694,Not Specified,Bay Tree Dr & Holly Dr,No,Not Specified,999.076957704935,130.71159017153792,40.13363777414227,-88.23805575029894
64,8888,2695,1 Holly Dr,Not Specified,No,Not Specified,4319.230640155121,447.7463180233348,40.13392428119242,-88.23807607767823
65,8888,2696,Not Specified,Bay Tree Dr & Sandalwood Dr,No,Not Specified,1690.0082473673694,164.66940623489126,40.133471850171425,-88.23850118077664
66,8888,2697,1 Bay Tree Dr,Not Specified,No,Not Specified,2025.250877795698,232.38296931351127,40.133558886744126,-88.23826847408351
67,8888,2698,1 Sandalwood Dr,Not Specified,No,Not Specified,7795.080949282611,723.4899170572587,40.133960944252955,-88.23847217463678
68,8888,2699,Not Specified,Juniper Dr & Sandalwood Dr,No,Not Specified,1197.9518467338753,137.37332545221585,40.13304062094128,-88.23853011916364
69,8888,2700,1 Sandalwood Dr,Not Specified,No,Not Specified,3024.3901023205435,281.17257467522364,40.133236813282636,-88.23852586221513
70,8888,2702,Not Specified,Bay Tree Dr & Sandalwood Dr Dr,No,Not Specified,1776.3385015606823,178.0816006613743,40.13421554324882,-88.23690842387734
71,8888,2703,10 Sandalwood Dr,Not Specified,No,Not Specified,6120.271900206021,648.1627701535552,40.13423249113428,-88.23751863220886
72,8888,2704,1 Bay Tree Dr,Not Specified,No,Not Specified,7469.943078342641,715.9845688528156,40.133911172025904,-88.2374857468755
73,8888,2705,1 Juniper Dr,Not Specified,No,Not Specified,2537.8364524593035,229.9763573788763,40.13302855087934,-88.23831456819723
74,8888,2706,Not Specified,Blue Spruce Dr & Juniper Dr,No,Not Specified,3007.504109570027,217.6168885109872,40.13301480944844,-88.2380547345046
75,8888,2707,Not Specified,Blue Spruce Dr & Red Bud St,No,Not Specified,2117.9896362587824,179.3573005183517,40.13409239576615,-88.23630365444934
76,8888,2708,Not Specified,Bay Tree Dr & Red Bud St,No,Not Specified,3244.053788353404,387.27640274003164,40.1342864945257,-88.23655454021956
77,8888,2709,10 Blue Spruce Dr,Not Specified,No,Not Specified,17876.7179847321,1264.3085997768308,40.13360544784888,-88.23727930269155
78,8888,2710,20 Red Bud St,Not Specified,No,Not Specified,1508.623976355387,191.8022752528024,40.133943203763586,-88.23618023854705
79,8888,2711,Not Specified,Red Bud St & Tulip Tree Dr,No,Not Specified,2375.8480172267527,190.69384155188334,40.133797212891615,-88.23606789661174
80,8888,2712,1 Tulip Tree Dr,Not Specified,No,Not Specified,17220.417231926505,1220.6047335769338,40.13332933251441,-88.23702274767021
81,8888,2713,20 Red Bud St,Not Specified,No,Not Specified,1624.4161299286027,193.9435120750486,40.1336438574855,-88.23596264249456
82,8888,2714,Not Specified,Raintree Dr & Red Bud St,No,Not Specified,2180.1941627088554,184.69862691920653,40.1334836422,-88.235881659454
83,8888,2715,Not Specified,Magnolia Dr & Red Bud St,No,Not Specified,1629.891506948313,155.58650182883602,40.13313389485077,-88.23572228446996
84,8888,2716,20 Red Bud St,Not Specified,No,Not Specified,2015.5858641604862,230.92675643478435,40.13330320509544,-88.23578498534755
85,8888,2717,20 Red Bud St,Not Specified,No,Not Specified,1401.2442888738722,184.9788641511929,40.13298801629934,-88.23567968242124
86,8888,2718,Not Specified,Forsythia Dr & Red Bud St,No,Not Specified,1420.6109216353207,149.047798726558,40.132857083377026,-88.23562728019078
87,8888,2719,Not Specified,Juniper Dr & Red Bud St,No,Not Specified,1652.156687678279,158.01461125051543,40.13254474718079,-88.23562301534179
88,8888,2720,30 Red Bud St,Not Specified,No,Not Specified,1705.971092210713,192.57192548267307,40.132698628194234,-88.23563157181133
89,8888,2722,Not Specified,Juniper Dr & Magnolia Dr,No,Not Specified,2082.06354697916,183.52916452341697,40.13253436985016,-88.23670584789866
90,8888,2723,10 Juniper Dr,Not Specified,No,Not Specified,6540.409064785914,551.0023558267392,40.132527745231414,-88.23615272208887
91,8888,2724,10 Magnolia Dr,Not Specified,No,Not Specified,8469.096278242312,735.7250115533305,40.132871998698015,-88.23627654108567
92,8888,2721,10 Raintree Dr,Not Specified,No,Not Specified,13637.947585758602,1194.1019014063506,40.133024644330554,-88.23677343120674
93,8888,2725,Not Specified,Juniper Dr & Raintree Dr,No,Not Specified,1630.7109531740005,177.25169077777267,40.132525423324914,-88.23753003458836
94,8888,2726,10 Juniper Dr,Not Specified,No,Not Specified,4271.622800214742,388.39575706262065,40.13252069954074,-88.23711408639467
95,8888,2727,1 Juniper Dr,Not Specified,No,Not Specified,5781.5414280572095,485.75808558768415,40.1326997282891,-88.23790808691744
96,8888,2728,Not Specified,Juniper Dr & Linden Dr,No,Not Specified,1600.7537986231516,155.39551498037326,40.1325555235288,-88.23483441312986
97,8888,2729,20 Juniper Dr,Not Specified,No,Not Specified,4630.19461659398,417.63558779960243,40.13253402874013,-88.2352267773711
98,8888,2730,30 Sycamore Dr,Not Specified,No,Not Specified,1100.9207283017086,148.29995303003025,40.13268420933617,-88.23477752257753
99,8888,2731,Not Specified,Forsythia Dr & Sycamore Dr,No,Not Specified,2033.0240982561704,186.2593423359085,40.132840273291876,-88.23472946133569
100,8888,2732,30 Forsythia Dr,Not Specified,No,Not Specified,6312.079883847967,507.59591886562913,40.13287130242169,-88.23516394633158
101,8888,2733,Not Specified,Raintree Dr & Sycamore Dr,No,Not Specified,1742.9172898303227,163.7894417625519,40.13353441787093,-88.23443813514947
102,8888,2734,20 Raintree Dr,Not Specified,No,Not Specified,9477.116250316392,783.621766459126,40.13356351155976,-88.23515450061532
103,8888,2736,30 Raintree Dr,Not Specified,No,Not Specified,1213.1077868177676,174.708406136941,40.1334865642874,-88.23423518485018
104,8888,2737,Not Specified,Linden Dr & Raintree Dr,No,Not Specified,1304.8914877274292,142.66668281768239,40.133444241571006,-88.23407688689531
105,8888,2738,30 Linden Dr,Not Specified,No,Not Specified,8901.36926329878,894.2680858867111,40.13284037156719,-88.2343585982046
106,8888,2739,Not Specified,Sycamore Dr & Tulip Tree Dr,No,Not Specified,2250.246287566131,189.87397316953684,40.133889142324534,-88.23428182167324
107,8888,2740,20 Sycamore Dr,Not Specified,No,Not Specified,2443.960072318342,253.69947520297364,40.13369319557477,-88.23435454471252
108,8888,2741,10 Tulip Tree Dr,Not Specified,No,Not Specified,11620.967480011606,983.7326480410783,40.13389978725528,-88.23514783362394
109,8888,2735,20 Magnolia Dr,Not Specified,No,Not Specified,7761.592618380935,644.3628915865879,40.13321229709299,-88.23514200311105
110,8888,2742,20 Sycamore Dr,Not Specified,No,Not Specified,1585.0700189890376,193.0889742310483,40.13339766699114,-88.23447778318737
111,8888,2743,30 Sycamore Dr,Not Specified,No,Not Specified,1691.2064005682803,210.50477783577622,40.13302790687073,-88.23462582392352
112,8888,2744,Not Specified,Magnolia Dr & Sycamore Dr,No,Not Specified,1942.123125909173,181.2290822352271,40.13322249526875,-88.23456289509895
113,8888,2701,20 Blue Spruce Dr,Not Specified,No,Not Specified,13213.24715081395,1181.3586292796826,40.1342439058026,-88.235304967693
114,8888,2746,20 Sycamore Dr,Not Specified,No,Not Specified,1889.9267529687945,227.8479565767839,40.13408199762759,-88.23416820726239
115,8888,2748,Not Specified,Blue Spruce Dr & Sycamore Dr,No,Not Specified,2036.1613645840557,184.79148031121096,40.13424694930491,-88.23415396240173
116,8888,2755,Not Specified,Lemon Tree Dr & Persimmon Dr,No,Not Specified,3347.483813614467,242.02990837386363,40.1320281900818,-88.23722571279112
117,8888,2756,Not Specified,Apricot Dr & Lemon Tree Dr,No,Not Specified,3020.397524883839,207.6174513712448,40.131188128904185,-88.23832681139243
118,8888,2757,1 Lemon Tree Dr,Not Specified,No,Not Specified,9769.678384774286,778.681566542764,40.13160131774397,-88.23780230187907
119,8888,2758,10 Persimmon Dr,Not Specified,No,Not Specified,17805.138157581274,1368.1690687845364,40.131899687646985,-88.23816415090552
120,8888,2764,1 Apricot Dr,Not Specified,No,Not Specified,7265.77622229696,596.3574788033469,40.13108574776274,-88.23778241050192
121,8888,2765,1 Quince Dr,Not Specified,No,Not Specified,7868.628318171955,657.3953862749095,40.131571830993266,-88.23721103639264
122,8888,2763,Not Specified,Apricot Dr & Quince Dr,No,Not Specified,2343.876694124388,191.38046713231574,40.13110463869908,-88.23720447278497
123,8888,3025,1700 N Neil St,Not Specified,No,Not Specified,11736.956289226231,725.0806558161977,40.136007112908466,-88.24369981453347
124,8888,3334,1600 N Prospect Ave,Not Specified,No,Not Specified,19657.52476235274,1117.2907142281508,40.13326971264579,-88.25789941203381
125,8888,3335,1600 N Prospect Ave,Not Specified,No,Not Specified,19738.871923600796,1131.6260068775246,40.133183879286904,-88.25807174285328
126,0000,3675,Not Specified,N Prospect Ave & W Beardsley Ave,No,Not Specified,4645.360727940516,275.0279383858945,40.126293332105995,-88.25796209804868
127,8888,6375,Not Specified,S Prospect Ave & W Springfield Ave,No,Not Specified,8000.797137774759,345.9197057334921,40.112645130951925,-88.25781800187632
128,0000,7108,500 W Olympian Dr,Not Specified,No,Concrete,237352.73115184685,10358.087791324218,40.156807008791354,-88.24874838341518
129,0000,7109,3500 N Market St,Not Specified,Yes,Concrete,23542.406207260072,962.9387021039964,40.157461494199694,-88.23930734053674
130,0000,7122,Not Specified,Legacy Ave & W Olympian Dr,No,Concrete,21223.129720924753,637.7187516116595,40.15916256734447,-88.2811760896899
131,764,7320,3000 S Duncan Rd,Not Specified,Yes,Asphalt,8280.211738425342,800.724572039214,40.0760961162611,-88.29512435814985
132,8888,483,Not Specified,Jacks Blvd & S Rising Rd,No,Oil and Chip,2702.3524510065095,258.41716707266795,40.090240882327045,-88.33302341837963
133,8888,896,Not Specified,Curtis Meadow Dr & S Staley Rd,Yes,Asphalt,2972.2551650142377,272.00634381968956,40.09637789108103,-88.31426896054012
134,526,7728,4100 Colleen Dr,Not Specified,Yes,Concrete,5867.753232240895,290.98986061004234,40.10877978658569,-88.31162491185867
135,9999,7835,2300 Verona Ct,Not Specified,Yes,Concrete,4693.068809194301,485.757072101909,40.08666329841173,-88.32488745030875
136,9999,7850,2300 Milan Ct,Not Specified,Yes,Concrete,4341.803112614252,488.8523650840753,40.086690366218775,-88.32406122799328
137,8888,202,Not Specified,S Staley Rd & Turnberry Dr,Yes,Asphalt,2657.481577239756,234.20436568248604,40.10355451382386,-88.3143727396121
138,2449,8013,900 Trailway Ct,Not Specified,Yes,Concrete,6435.927961870066,354.56369671146507,40.1260865216114,-88.31256646709203
139,678,1737,2900 Deske Ct,Not Specified,Yes,Concrete,6769.756994372123,407.5947867505825,40.123198825257155,-88.29368632679585
140,0000,8632,2400 W Daniel St,Not Specified,Yes,Not Specified,7590.761102353678,1228.4158947272,40.10745728880511,-88.2871246040024
141,0000,8778,1700 Crescent Dr,Not Specified,Yes,Not Specified,1871.000218846244,196.97554107824428,40.09522556612574,-88.28328931174127
142,672,9431,Not Specified,Davidson Dr & Harriet St,No,Asphalt,16152.594651008232,1844.2867761316306,40.118957174512275,-88.26386313272835
143,1531,9761,1100 S Lynn St,Not Specified,No,Concrete,12950.633969001434,1077.2624622981111,40.10301099345846,-88.25206567610756
144,2521,6801,1600 Valley Rd,Not Specified,No,Concrete,35197.756360410705,2683.9005253995547,40.09630942693273,-88.24935610928104
145,2641,6594,300 Wheaton Ave,Not Specified,No,Concrete,11270.327014184564,1304.6996157416975,40.11349905136775,-88.25544392286805
146,969,10272,300 Fremont St,Not Specified,No,Asphalt,14705.898697855579,1504.9244698960867,40.11896039089162,-88.2423781415475
147,8888,2749,1 Juniper Dr,Not Specified,No,Not Specified,2352.746878821483,243.41156491067113,40.13304293631084,-88.23871607842784
148,9,10443,1300 Alms Ave,Not Specified,Yes,Oil and Chip,12128.771311493925,1109.8765815913187,40.10059672610423,-88.24752390227876
149,340,10445,300 Cedar St,Not Specified,No,Oil and Chip,13787.884803220373,1350.4760736040532,40.09901376320544,-88.24778150875287
150,968,10456,1300 Frederick St,Not Specified,Yes,Oil and Chip,11730.442391087387,1126.6509945984976,40.10055172820965,-88.24548664687995
151,1884,10769,400 Pine St,Not Specified,No,Concrete,8411.083699356244,730.9235754981247,40.11216629134113,-88.25589947350623
152,Not Specified,6EB5167A-F103-48A9-859E-8745EDFD5602,Not Specified,Pine St & W Healey St,No,Brick,1116.4196340468907,131.0975454964135,40.11168989529215,-88.25589441004301
153,8888,6281,Not Specified,I72 & N Duncan Rd,No,Concrete,24698.549047655528,1804.0635743987075,40.11965058618982,-88.29554297159092
154,9999,11472,900 Cheshire Dr,Not Specified,No,Not Specified,15739.221728549133,1647.4097560592015,40.11677409861577,-88.25911945698968
155,868,6351,700 Fairway Dr,Not Specified,No,Oil and Chip,15481.306389500634,1524.8422019867617,40.10239814471423,-88.25636610175482
156,867,11615,700 Fairway Dr,Not Specified,No,Concrete,5694.991017040322,582.7682291643657,40.10273622219179,-88.25512931453966
157,699,6345,800 Dodds Dr,Not Specified,Yes,Asphalt,26339.21885082151,2137.633464578616,40.09899505207173,-88.2560520888673
158,8,11632,1500 Alma Dr,Not Specified,Yes,Asphalt,19846.555622845815,1652.5989983100922,40.09906858209333,-88.25408518386153
159,1111,11634,700 Hamilton Dr,Not Specified,Yes,Asphalt,21925.044992200776,2329.067810197392,40.10040440076034,-88.25568979147255
160,56,6342,900 Arrow Rd,Not Specified,Yes,Asphalt,12396.059987806128,1318.2246783356218,40.09736384566868,-88.2587412676107
161,8888,390,Not Specified,S Rising Rd & Sandcherry Dr,No,Oil and Chip,2414.118773738906,236.0015573594804,40.096026162017246,-88.33309562571924
162,0000,2330,Not Specified,Eisner Dr & N Market St,No,Asphalt,7298.840327927298,402.8144960815035,40.13974692018468,-88.23897274245701
163,549,1996,1300 Comanche Dr,Not Specified,Yes,Asphalt,19029.0055963606,1514.4843778734466,40.14306998660358,-88.26889163542135
164,0000,2343,Not Specified,N Market St & Petry Ct,No,Asphalt,4902.899325334513,304.6321135239623,40.136906939551494,-88.23893978412737
165,1874,2344,100 Petry Ct,Not Specified,Yes,Concrete,14727.017945856582,915.7308098704148,40.13688203182323,-88.23816822279797
166,0000,12368,1000 S Elm Blvd,Not Specified,No,Asphalt,788.7147106611734,110.7131914194891,40.10499643590338,-88.2505486945779
167,2242,10424,Not Specified,S Elm Blvd & Stanage Ave,No,Asphalt,5751.751368661753,443.0144008798128,40.10496348058912,-88.25027372058638
168,8888,1373,Not Specified,I57 & W Olympian Dr,No,Asphalt,32622.960358077245,1648.5703962816306,40.15709944080591,-88.27144007968096
169,0000,2317,Not Specified,N Market St & Wallace Ave,No,Asphalt,4300.056929210953,278.5070567320888,40.14360470669578,-88.2390339088928
170,2671,2284,Not Specified,N Second St & Wilber Ave,Yes,Not Specified,13428.988585352787,1380.1940720066002,40.141771751469065,-88.23667780806211
171,8888,2933,1700 N Neil St,Not Specified,No,Not Specified,52478.62329916152,2935.2640114000496,40.13479527611504,-88.24369695679974
172,58,12622,900 Arrow Rd,Not Specified,Yes,Concrete,4306.033974137047,476.7890375363467,40.09757552422553,-88.25973328159169
173,64,12623,1800 Augusta Dr,Not Specified,Yes,Concrete,7834.182050866711,466.8193938575263,40.09312112869298,-88.26529208987041
174,297,12626,3200 Brentwood Ct,Not Specified,Yes,Asphalt,6280.004115334702,333.2669262483674,40.106810121541265,-88.29865499399489
175,301,12627,1400 Briarwood Dr,Not Specified,Yes,Asphalt,8107.298755456861,407.85947069177047,40.10047851303893,-88.28705792819093
176,404,12629,200 E Bradley Ave,Not Specified,No,Oil and Chip,1804.0176351398043,232.75390399417918,40.12712328497371,-88.23655362708226
177,476,12632,3400 Clayton Rd,Not Specified,Yes,Concrete,6378.264368284289,402.8646903310329,40.1222877045675,-88.3022201673192
178,1454,12644,2500 Lawndale Dr,Not Specified,Yes,Asphalt,7386.941057737638,352.4354414993411,40.09924009876594,-88.2888058192295
179,8888,1170,Not Specified,I74 & N Duncan Rd,No,Not Specified,4244.239801723904,405.5689431281692,40.15833675972561,-88.29799007911758
180,8888,12585,2900 N Duncan Rd,Not Specified,No,Not Specified,885.3936283567707,168.49779226462218,40.15108013037103,-88.29591601577319
181,8888,312,Not Specified,S Rising Rd & Marie Dr,No,Oil and Chip,33318.66151412354,2839.7987140356354,40.104178996303,-88.33319961450563
182,Not Specified,1A9B609B-44E0-46F0-A621-0C3F52CD489E,Not Specified,S State St & W Springfield Ave,No,Not Specified,3537.166135651842,238.3742926972634,40.11262506389163,-88.24681667958879
183,Not Specified,17849A99-8112-4EC3-8A65-DBA96AA902FB,Not Specified,S Randolph St & W Springfield Ave,No,Not Specified,3868.189681138149,249.79031516206157,40.11260230478273,-88.24513443488924
184,Not Specified,9FFC082C-FA1F-4324-8147-4ED23B3B1FBF,100 W Springfield Ave,Not Specified,No,Not Specified,21737.057657863697,896.9973584514465,40.112602429475594,-88.24435222883842
185,Not Specified,DA98CAE5-85CF-496B-AFED-79E7101D05C8,Not Specified,S Randolph St & W Healey St,No,Asphalt,2421.832885551971,196.2576681731113,40.11165945763165,-88.24513869041881
186,2007,9943,400 S Randolph St,Not Specified,No,Asphalt,12733.332325612533,690.4309189976209,40.1121246615409,-88.24514139608026
187,Not Specified,EE847787-680A-4F23-A182-43C69795ADD2,Not Specified,S State St & W Healey St,No,Asphalt,2643.560225186682,205.72670583060776,40.11166584109215,-88.24678995082944
188,2261,9985,400 S State St,Not Specified,No,Asphalt,13011.15843718142,697.3763044422221,40.11213657982763,-88.24679298146769
189,1160,9982,200 W Healey St,Not Specified,No,Brick,11362.613226564896,934.3166548567252,40.111661621312834,-88.24596335596189
190,Not Specified,823DE091-241C-41DD-BBF2-4BC8F4D8B016,Not Specified,S Prairie St & W Healey St,No,Brick,990.6965052922623,125.96448688382168,40.11166697281003,-88.24844659923407
191,1161,10014,300 W Healey St,Not Specified,No,Brick,11505.819986833094,937.974700282741,40.1116674953696,-88.24762905682641
192,Not Specified,7E68F4B2-EB92-4D79-A1A0-69D9A9730592,Not Specified,S Elm St & W Healey St,No,Brick,1345.5192221072148,146.74796387517358,40.111675460694826,-88.2500831909757
193,1162,10150,400 W Healey St,Not Specified,No,Brick,11510.44730167046,921.4843993095594,40.111672713064586,-88.24926158739827
194,Not Specified,23D6A647-0330-4CA9-BED0-84D009F08E39,Not Specified,S Lynn St & W Healey St,No,Brick,1004.8740639752826,126.45920750563417,40.11168162307115,-88.25174121927625
195,1163,9752,500 W Healey St,Not Specified,No,Brick,11669.193249197027,932.6028221878455,40.11167730853965,-88.25091497655262
196,Not Specified,5F3186DA-85B5-42EA-AE3E-EF3089065CD4,Not Specified,S New St & W Healey St,No,Brick,1731.8479595749304,207.59477085181953,40.11168236816118,-88.25414591219926
197,1165,10149,700 W Healey St,Not Specified,No,Brick,12125.780482307193,969.0903482954336,40.11168810623033,-88.25503608524618
198,1164,9753,600 W Healey St,Not Specified,No,Brick,17226.206795093884,1354.7170260239054,40.11168376126566,-88.25292960857134
